City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
343,Ngaoundere,CM,71.76,overcast clouds,7.3167,13.5833,Hotel Mentong Palace
344,Susuman,RU,72.86,scattered clouds,62.7833,148.1667,Susumanzoloto
345,Kayerkan,RU,52.12,overcast clouds,69.3497,87.7602,
346,Bowen,AU,57.76,clear sky,-20.0167,148.2333,Castle Motor Lodge Motel
347,Mainaguri,IN,83.32,clear sky,26.5667,88.8167,Suncity Resort Lataguri
348,Kenai,US,56.14,overcast clouds,60.5544,-151.2583,Aspen Extended Stay Suites
349,Pyaozerskiy,RU,69.19,broken clouds,65.8333,31.1667,Taratuga
350,Aconibe,GQ,78.73,light rain,1.2968,10.9369,
351,Zhireken,RU,52.21,broken clouds,52.8249,117.3076,Gostinitsa
352,Tsabong,BW,66.11,clear sky,-26.0217,22.401,Springbok Motel
353,Xining,CN,67.05,few clouds,36.6167,101.7667,Super Leisure Hotel
354,Kanniyakumari,IN,81.64,overcast clouds,8.0833,77.5667,Sparsa Kanyakumari
356,Maldonado,UY,57.22,overcast clouds,-34.6667,-54.9167,La Cimarrona
358,Praia,CV,84.74,scattered clouds,14.9215,-23.5087,LT Aparthotel
359,Ondjiva,AO,83.07,clear sky,-17.0667,15.7333,COMBUESA
360,Grindavik,IS,55.87,broken clouds,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
361,Muros,ES,82.83,clear sky,42.7762,-9.0603,Apartment Av. Castelao
362,Hambantota,LK,82.2,overcast clouds,6.1241,81.1185,Bungalow 63
363,Tabou,CI,81.48,broken clouds,4.423,-7.3528,hotêl doufoulougou
364,Narsaq,GL,57.42,overcast clouds,60.9167,-46.05,Sleep In Narsaq
365,Leh,IN,69.08,overcast clouds,34.1667,77.5833,Hotel Ladakh Greens
366,Tulum,MX,86.18,overcast clouds,20.2167,-87.4667,Kin Ha Tulum
367,Aykhal,RU,56.05,light rain,66.0,111.5,
